::1 - - [06/Jun/2021:15:02:05 +0000] "GET / HTTP/1.1" 200 14 "-" "PostmanRuntime/7.28.0"
::1 - - [06/Jun/2021:15:02:54 +0000] "GET /user/registration HTTP/1.1" 404 156 "-" "PostmanRuntime/7.28.0"
::1 - - [06/Jun/2021:15:03:02 +0000] "POST /user/registration HTTP/1.1" 404 157 "-" "PostmanRuntime/7.28.0"
::1 - - [06/Jun/2021:15:05:59 +0000] "POST /api/user/registration HTTP/1.1" 401 58 "-" "PostmanRuntime/7.28.0"
::1 - - [06/Jun/2021:15:22:30 +0000] "POST /api/user/registration HTTP/1.1" 200 45 "-" "PostmanRuntime/7.28.0"
::1 - - [06/Jun/2021:15:35:27 +0000] "POST /api/user/login HTTP/1.1" 500 62 "-" "PostmanRuntime/7.28.0"
::1 - - [06/Jun/2021:15:37:30 +0000] "POST /api/user/login HTTP/1.1" 500 62 "-" "PostmanRuntime/7.28.0"
::1 - - [06/Jun/2021:15:38:29 +0000] "POST /api/user/login HTTP/1.1" 500 62 "-" "PostmanRuntime/7.28.0"
::1 - - [06/Jun/2021:15:39:16 +0000] "POST /api/user/login HTTP/1.1" 500 62 "-" "PostmanRuntime/7.28.0"
::1 - - [06/Jun/2021:15:40:28 +0000] "POST /api/user/login HTTP/1.1" 500 62 "-" "PostmanRuntime/7.28.0"
::1 - - [06/Jun/2021:15:41:51 +0000] "POST /api/user/login HTTP/1.1" 500 62 "-" "PostmanRuntime/7.28.0"
::1 - - [06/Jun/2021:15:44:31 +0000] "POST /api/user/login HTTP/1.1" 200 350 "-" "PostmanRuntime/7.28.0"
::1 - - [06/Jun/2021:15:46:41 +0000] "POST /api/user/login HTTP/1.1" 200 168 "-" "PostmanRuntime/7.28.0"
::1 - - [06/Jun/2021:15:47:39 +0000] "POST /api/user/login HTTP/1.1" 200 168 "-" "PostmanRuntime/7.28.0"
::1 - - [06/Jun/2021:15:48:55 +0000] "POST /api/user/login HTTP/1.1" 200 350 "-" "PostmanRuntime/7.28.0"
::1 - - [06/Jun/2021:19:25:22 +0000] "POST /api/user/login HTTP/1.1" 200 350 "-" "PostmanRuntime/7.28.0"
::1 - - [06/Jun/2021:19:26:05 +0000] "POST /api/user/registration HTTP/1.1" 200 45 "-" "PostmanRuntime/7.28.0"
::1 - - [06/Jun/2021:23:35:58 +0000] "POST /api/user/login HTTP/1.1" 200 355 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Mobile Safari/537.36"
::1 - - [07/Jun/2021:09:07:20 +0000] "POST /api/user/login HTTP/1.1" 200 355 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36"
::1 - - [07/Jun/2021:09:08:17 +0000] "POST /api/user/login HTTP/1.1" 200 355 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Mobile Safari/537.36"
::1 - - [07/Jun/2021:09:09:54 +0000] "POST /api/user/login HTTP/1.1" 200 355 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Mobile Safari/537.36"
::1 - - [07/Jun/2021:12:07:16 +0000] "POST /api/user/login HTTP/1.1" 200 58 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Mobile Safari/537.36"
::1 - - [07/Jun/2021:12:07:35 +0000] "POST /api/user/login HTTP/1.1" 200 58 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Mobile Safari/537.36"
::1 - - [07/Jun/2021:12:21:38 +0000] "POST /api/user/login HTTP/1.1" 200 58 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36"
::1 - - [07/Jun/2021:12:22:15 +0000] "POST /api/user/login HTTP/1.1" 200 58 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Mobile Safari/537.36"
::1 - - [07/Jun/2021:12:42:03 +0000] "POST /api/user/login HTTP/1.1" 200 351 "-" "PostmanRuntime/7.28.0"
::1 - - [07/Jun/2021:13:17:11 +0000] "POST /api/user/login HTTP/1.1" 200 355 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Mobile Safari/537.36"
::1 - - [07/Jun/2021:13:20:13 +0000] "POST /api/user/login HTTP/1.1" 200 355 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Mobile Safari/537.36"
::1 - - [07/Jun/2021:13:24:47 +0000] "POST /api/user/login HTTP/1.1" 200 355 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36"
::1 - - [07/Jun/2021:13:50:40 +0000] "POST /api/user/login HTTP/1.1" 200 355 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36"
::1 - - [07/Jun/2021:13:50:43 +0000] "POST /api/user/login HTTP/1.1" 200 355 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36"
::1 - - [07/Jun/2021:13:50:43 +0000] "POST /api/user/login HTTP/1.1" 200 355 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36"
::1 - - [07/Jun/2021:13:53:56 +0000] "POST /api/user/login HTTP/1.1" 200 355 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36"
::1 - - [07/Jun/2021:13:55:04 +0000] "POST /api/user/login HTTP/1.1" 200 355 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36"
::1 - - [07/Jun/2021:13:55:15 +0000] "POST /api/user/login HTTP/1.1" 200 48 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36"
::1 - - [07/Jun/2021:13:57:28 +0000] "POST /api/user/registration HTTP/1.1" 200 45 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36"
::1 - - [07/Jun/2021:13:59:22 +0000] "POST /api/user/registration HTTP/1.1" 400 46 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36"
::1 - - [07/Jun/2021:14:00:05 +0000] "POST /api/user/registration HTTP/1.1" 400 46 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Mobile Safari/537.36"
::1 - - [07/Jun/2021:14:03:44 +0000] "POST /api/user/registration HTTP/1.1" 401 55 "-" "PostmanRuntime/7.28.0"
::1 - - [07/Jun/2021:14:04:09 +0000] "POST /api/user/registration HTTP/1.1" 400 46 "-" "PostmanRuntime/7.28.0"
::1 - - [07/Jun/2021:14:04:32 +0000] "POST /api/user/registration HTTP/1.1" 400 46 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Mobile Safari/537.36"
::1 - - [07/Jun/2021:14:08:30 +0000] "POST /api/user/registration HTTP/1.1" 422 46 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Mobile Safari/537.36"
::1 - - [07/Jun/2021:14:09:11 +0000] "POST /api/user/registration HTTP/1.1" 409 46 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Mobile Safari/537.36"
